Wall time,Step,Value
1710829274.4055917,5,-1.2096017599105835
1710829395.6754248,15,-5.810697555541992
1710829401.494271,16,-5.599272727966309
1710829442.0990763,19,-6.6635966300964355
1710829449.0903602,20,-6.762925624847412
1710829497.515107,27,-7.066934585571289
1710829525.8282442,28,-7.729763984680176
1710829685.5662227,41,-7.9157185554504395
1710829811.9623895,48,-8.501961708068848
1710829819.3889637,49,-9.28586196899414
1710829828.4049227,50,-8.707658767700195
1710830149.5487301,63,-11.262454986572266
1710830171.0640643,64,-11.558745384216309
1710830225.6719615,68,-12.687816619873047
1710830258.3248994,71,-12.182709693908691
1710830264.9351933,72,-13.094840049743652
1710830320.6792126,78,-13.084840774536133
1710830357.2552218,83,-13.178694725036621
1710830453.952987,90,-14.881650924682617
1710830542.2840369,100,-16.693952560424805
1710830580.0919619,104,-18.711910247802734
1710830605.3039258,108,-19.648944854736328
1710830986.9432044,122,-21.016353607177734
1710831036.9606671,126,-21.697921752929688
1710831045.1555307,127,-21.326753616333008
1710831048.4364376,129,-18.555665969848633
1710831087.7084465,131,-22.39582061767578
1710831137.4673269,137,-22.383121490478516
1710831202.2370427,145,-21.121065139770508
1710831243.4229505,147,-23.372333526611328
1710831247.1164005,148,-22.802845001220703
1710831264.719871,151,-22.49738883972168
1710831341.7750096,158,-24.524677276611328
1710831366.766997,161,-24.707157135009766
1710831371.039249,163,-33.1025505065918
1710831380.3189332,165,-25.714200973510742
1710831455.2278278,173,-26.78818130493164
1710831778.8421001,178,-27.669673919677734
1710831839.2514422,185,-29.775270462036133
1710831845.087153,186,-29.051382064819336
1710831915.9743376,192,-30.84095573425293
1710831936.0816684,193,-30.87074089050293
1710832042.128843,204,-32.12503433227539
1710832083.3888159,206,-32.24168395996094
1710832180.8312066,214,-36.90556335449219
1710832371.6030328,230,-38.90992736816406
1710832654.645171,245,-44.86724090576172
1710832680.4801412,246,-44.32011413574219
1710832883.09783,259,-49.6685905456543
1710832906.0502841,260,-50.4327278137207
1710833016.3168385,272,-52.4927864074707
1710833040.4535675,275,-54.01980209350586
1710833114.438263,283,-56.48046112060547
1710833132.8573327,286,-56.97102355957031
1710833170.3503516,289,-56.867164611816406
1710833178.1506069,291,-57.10679244995117
1710833372.3730462,296,-59.15568542480469
1710833379.9642663,298,-59.24498748779297
1710833395.703433,299,-59.92625045776367
1710833528.884518,309,-62.88009262084961
1710833585.255773,313,-64.56806182861328
1710833611.900214,317,-63.80135726928711
1710833631.2807717,319,-64.96690368652344
1710833633.481117,320,-65.52981567382812
1710833658.5243874,323,-65.18943786621094
1710833903.5935957,346,-73.14900207519531
1710833908.5391362,347,-72.39984130859375
1710834322.3995285,359,-80.75823211669922
1710834373.61223,365,-75.45128631591797
1710834377.336032,366,-78.21070861816406
1710834401.6414576,367,-75.58497619628906
1710834534.5293767,379,-80.32929229736328
1710834625.0499074,387,-80.72744750976562
1710834701.6281831,391,-81.93948364257812
1710834735.5458086,393,-83.38044738769531
1710834791.3007815,398,-82.93883514404297
1710834840.5502584,403,-85.28553771972656
1710834947.6017933,405,-84.4766845703125
1710835060.6111832,416,-88.7166748046875
1710835107.3305354,422,-89.00615692138672
1710835108.3033907,423,-92.5026626586914
1710835214.1259422,437,-93.89656066894531
1710835216.2599444,438,-95.62956237792969
1710835227.574795,440,-92.45588684082031
1710835304.8901,447,-91.42183685302734
1710835363.094297,453,-93.91571807861328
1710835387.0521472,457,-95.51764678955078
1710835431.8616536,462,-96.34815216064453
1710835483.4951231,466,-96.14987182617188
1710835508.6452594,469,-96.66423034667969
1710835527.3083365,471,-92.97274017333984
1710835544.810291,475,-99.79924774169922
1710835554.5796905,476,-97.12496185302734
1710835753.4900563,481,-98.92655181884766
1710835757.5992641,482,-96.80776977539062
1710835815.2941747,488,-95.97993469238281
1710835990.987495,511,-106.09072875976562
1710836015.4146545,513,-102.2669677734375
1710836040.389795,514,-102.72459411621094
1710836051.4264026,515,-103.91138458251953
1710836079.8880513,518,-104.00711059570312
1710836111.669326,520,-105.07530212402344
1710836219.8763943,534,-106.88603210449219
1710836221.7538278,535,-105.1806411743164
1710836247.1718495,537,-107.35247039794922
1710836273.1694398,539,-107.29818725585938
1710836282.3616078,541,-107.67202758789062
1710836322.3135037,545,-108.26380920410156
1710836336.8957515,547,-108.67424011230469
1710836676.5083044,551,-105.24409484863281
1710836678.046092,553,-115.1250991821289
1710836699.7513146,557,-104.08875274658203
1710836780.182244,563,-107.4509048461914
1710836794.804775,565,-111.79256439208984
1710836823.660705,569,-108.13192749023438
1710836957.9034972,585,-108.5560073852539
1710836961.7048218,586,-109.60132598876953
1710836997.5183225,591,-110.29894256591797
1710837058.6382568,595,-112.90641784667969
1710837067.2958403,597,-113.9273681640625
1710837212.568038,614,-113.2450180053711
1710837233.8878398,615,-116.26679229736328
1710837303.78966,623,-111.44744110107422
1710837305.9631622,624,-112.07315063476562
1710837460.2924151,629,-116.61959838867188
1710837493.4366002,630,-115.6293716430664
1710837554.4117362,638,-114.70184326171875
1710837597.348613,644,-117.92143249511719
1710837608.9185984,645,-117.97513580322266
1710837641.922698,650,-120.12052917480469
1710837649.6965492,652,-117.62002563476562
1710837737.124893,659,-116.9608383178711
1710837750.6517723,661,-120.09632110595703
1710837836.2268713,668,-118.4239501953125
1710837883.2969463,676,-117.78600311279297
1710837890.1683998,677,-119.49627685546875
1710837951.4552975,685,-119.79700469970703
1710838017.1586585,693,-123.14148712158203
1710838022.7258358,695,-121.20748138427734
1710838248.8149822,711,-117.26075744628906
1710838322.6084456,722,-120.61681365966797
1710838345.86561,724,-121.64995574951172
1710838373.27071,726,-121.34407806396484
1710838434.932745,729,-121.86725616455078
1710838441.0558295,730,-124.6445541381836
1710838449.9811456,732,-123.33802795410156
1710838456.6113734,733,-123.5691146850586
1710838467.6328688,734,-123.47928619384766
1710838512.5088143,739,-119.16594696044922
1710838566.5994003,745,-122.48198699951172
1710838645.8948748,765,-126.1361083984375
1710838740.941255,776,-118.10106658935547
1710838764.514916,777,-124.02944946289062
1710838793.4321125,781,-128.00453186035156
1710838805.598789,783,-126.3016128540039
1710838830.8343468,789,-127.00521087646484
1710838943.055605,805,-122.57561492919922
1710838960.955036,806,-124.1500244140625
1710838981.9531937,808,-128.7138214111328
1710839009.1774569,811,-123.81856536865234
1710839064.7199633,820,-123.58329772949219
1710839160.299208,833,-125.97640228271484
1710839224.3062284,841,-126.54048919677734
1710839241.2086077,844,-123.0968246459961
1710839329.348997,858,-127.7044448852539
1710839394.4392807,863,-123.73127746582031
1710839407.1081662,867,-121.40986633300781
1710839429.5684655,872,-122.6583251953125
1710839547.6945498,885,-119.44293975830078
1710839557.3722894,887,-124.13542938232422
1710839642.5719695,896,-117.00863647460938
1710839665.081467,898,-120.90425872802734
1710839691.3043835,902,-120.2510757446289
1710839735.5239365,909,-120.78535461425781
1710839860.370542,931,-122.73709869384766
1710839878.385413,933,-122.55313110351562
1710839952.0578163,943,-121.7322769165039
1710839994.1525705,950,-120.0712890625
1710840070.3194923,964,-117.73841857910156
1710840210.3482647,980,-117.97174835205078
1710840223.5050662,983,-121.05712127685547
1710840399.7897937,993,-115.71533203125
1710840468.0103278,995,-118.25696563720703
1710840542.4781475,1000,-117.13841247558594
1710840557.6382165,1003,-115.4572525024414
1710840587.355134,1005,-115.00794982910156
1710840664.4171991,1016,-118.77320861816406
1710840722.4398537,1023,-118.21134185791016
1710840750.237673,1027,-113.40621185302734
1710840783.0930996,1029,-114.37559509277344
1710840841.984601,1037,-105.14741516113281
1710840863.9233575,1038,-112.72525024414062
1710840992.5509267,1057,-119.43043518066406
1710841169.4103684,1061,-110.80960083007812
1710841220.0191553,1071,-117.72222900390625
1710841225.047146,1072,-110.97947692871094
1710841230.7882564,1074,-114.0147476196289
1710841273.5960476,1078,-115.83717346191406
1710841375.302524,1087,-112.41523742675781
1710841511.6632946,1099,-112.27661895751953
1710841545.7476454,1103,-111.78270721435547
1710841568.9170094,1105,-113.69356536865234
1710841581.9880717,1108,-109.86577606201172
1710841589.9605672,1110,-114.74079132080078
1710841601.5493305,1112,-105.41146087646484
1710841667.9935431,1122,-105.4136962890625
1710841679.8969061,1123,-110.4910888671875
1710841709.9604876,1126,-108.40616607666016
1710841719.390063,1127,-108.36935424804688
1710841742.2247424,1130,-112.29801940917969
1710841762.78561,1133,-107.99134063720703
1710841773.723048,1135,-104.6213150024414
1710841828.4826903,1140,-109.40792083740234
1710841965.5425496,1147,-105.54586791992188
1710841982.6817582,1152,-118.81272888183594
1710841998.9054542,1153,-108.9084243774414
1710842053.5205417,1165,-108.99761199951172
1710842121.6841898,1175,-105.29771423339844
1710842190.158149,1177,-107.06904602050781
1710842195.8189495,1178,-108.44154357910156
1710842235.5730107,1185,-105.48558044433594
1710842270.8929937,1190,-104.84295654296875
1710842323.9243062,1194,-108.70280456542969
1710842325.2660952,1195,-109.27511596679688
1710842407.4692268,1207,-104.18405151367188
1710842448.3030744,1215,-106.42960357666016
1710842463.9394474,1219,-110.56072235107422
1710842522.8252778,1224,-102.86996459960938
1710842533.9175038,1226,-95.53975677490234
1710842568.4026864,1230,-101.00086212158203
1710842725.6324534,1245,-93.8837890625
1710842748.764333,1247,-106.02850341796875
1710842804.3174121,1252,-95.85194396972656
1710842810.744481,1253,-98.01516723632812
1710842834.7860103,1255,-98.20591735839844
1710842848.4297578,1258,-85.2107925415039
1710842869.2588408,1262,-96.80398559570312
1710842912.4594667,1268,-97.05425262451172
1710842923.4888735,1272,-94.66024780273438
1710842957.5409207,1277,-99.8426742553711
1710843035.497431,1283,-96.92888641357422
1710843046.100153,1286,-100.7568588256836
1710843083.4876513,1291,-92.61947631835938
1710843103.9353766,1294,-104.66459655761719
1710843156.7286737,1299,-92.82259368896484
1710843187.3136902,1303,-100.32490539550781
1710843205.9460363,1307,-106.2633056640625
1710843261.738605,1316,-91.52470397949219
1710843390.9053817,1323,-86.35619354248047
1710843412.5758162,1326,-91.22428894042969
1710843414.4576077,1327,-86.80964660644531
1710843503.6863241,1336,-93.08405303955078
1710843564.5873933,1346,-84.20977020263672
1710843620.1615634,1355,-94.40055847167969
1710843682.1726844,1361,-93.00885009765625
1710843703.7925081,1365,-90.58783721923828
1710843751.7335668,1376,-95.7669448852539
1710843754.6963317,1377,-90.28579711914062
1710843788.9575472,1381,-83.64414978027344
1710843870.0092268,1394,-92.57028198242188
1710844134.3110852,1418,-76.76409149169922
1710844279.292438,1437,-81.01207733154297
1710844317.4304354,1439,-81.80479431152344
1710844318.8844538,1440,-70.61357879638672
1710844323.9307249,1441,-75.39871978759766
1710844396.3646176,1450,-72.85506439208984
1710844442.5081892,1458,-88.28254699707031
1710844472.531375,1459,-77.20475006103516
1710844484.442941,1462,-72.09724426269531
1710844581.5352533,1475,-71.9433822631836
1710844590.550489,1477,-75.91121673583984
1710844708.440253,1488,-82.51644897460938
1710844732.282586,1491,-68.55322265625
1710844814.9944503,1495,-69.24153137207031
1710844895.001737,1499,-70.71047973632812
1710844938.9795742,1503,-61.055755615234375
1710844984.3538997,1510,-62.920711517333984
1710844989.9164019,1511,-68.187744140625
1710845041.8285577,1514,-62.7752571105957
1710845061.4753194,1517,-64.99505615234375
1710845160.4501922,1529,-58.41297149658203
1710845253.5875998,1535,-62.84988021850586
