Wall time,Step,Value
1710745310.6233962,1,-0.3003879189491272
1710745322.543748,2,-0.31118157505989075
1710745346.9682412,3,-1.1113452911376953
1710745352.6201346,4,-1.6435741186141968
1710745354.2046757,5,-1.7269972562789917
1710745355.8554378,6,-1.8376048803329468
1710745357.2448733,7,-1.8947936296463013
1710745361.738251,8,-2.1446127891540527
1710745364.594179,9,-2.335024833679199
1710745373.1299875,10,-2.7017931938171387
1710745377.594174,11,-3.080700397491455
1710745381.0374956,12,-3.4513392448425293
1710745389.9854953,13,-3.6829771995544434
1710745395.3029053,14,-4.058910369873047
1710745396.857554,15,-4.396818161010742
1710745400.4817402,16,-4.2542948722839355
1710745406.0054245,17,-4.5446672439575195
1710745410.1054528,18,-4.819269180297852
1710745412.6006625,19,-4.514895439147949
1710745415.918899,20,-4.446168899536133
1710745422.5021167,21,-4.4779205322265625
1710745424.387705,22,-4.719615936279297
1710745427.0816588,23,-4.80383825302124
1710745429.7568567,24,-4.872099876403809
1710745436.1659262,25,-4.726883888244629
1710745443.2362642,26,-5.11611795425415
1710745448.1643996,27,-4.859685897827148
1710745456.9996092,28,-5.038808822631836
1710745462.7882504,29,-5.6887383460998535
1710745464.3525252,30,-6.004079818725586
1710745466.7211437,31,-5.579700946807861
1710745468.5997012,32,-5.765148639678955
1710745473.6531212,33,-5.822766304016113
1710745476.8898447,34,-6.202671527862549
1710745481.7780204,35,-6.245669364929199
1710745530.7025928,36,-6.67655086517334
1710745534.506442,37,-7.474267482757568
1710745535.5772564,38,-7.917435646057129
1710745537.9354534,39,-7.808501243591309
1710745541.4697511,40,-7.889555931091309
1710745544.5637007,41,-8.45079517364502
1710745546.4269392,42,-8.269402503967285
1710745548.1977682,43,-8.093807220458984
1710745552.312247,44,-8.320916175842285
1710745557.1179214,45,-8.297713279724121
1710745565.1309,46,-8.621170043945312
1710745579.5945325,47,-8.93935775756836
1710745585.488602,48,-9.644791603088379
1710745587.14833,49,-9.236199378967285
1710745590.8145895,50,-9.89182186126709
1710745599.8371317,51,-9.815109252929688
1710745607.1384685,52,-10.10558795928955
1710745610.117989,53,-10.173650741577148
1710745612.619636,54,-10.262645721435547
1710745617.7911217,55,-11.140680313110352
1710745619.4303584,56,-11.548652648925781
1710745626.5474818,57,-10.718833923339844
1710745638.8190866,58,-11.352677345275879
1710745647.3113997,59,-11.656908988952637
1710745651.5649168,60,-12.286404609680176
1710745654.3822486,61,-11.987839698791504
1710745657.0203733,62,-12.653644561767578
1710745664.1744294,63,-12.06489372253418
1710745671.5914366,64,-13.213685989379883
1710745676.9795709,65,-13.389569282531738
1710745678.6658046,66,-12.950963973999023
1710745687.4141643,67,-13.674076080322266
1710745693.2792146,68,-14.284603118896484
1710745697.8422487,69,-14.098557472229004
1710745702.8579266,70,-14.956560134887695
1710745707.921166,71,-14.173995018005371
1710745711.432455,72,-15.751715660095215
1710745716.478482,73,-15.341331481933594
1710745721.2562249,74,-15.558720588684082
1710745727.176745,75,-16.121902465820312
1710745732.8207774,76,-16.53870964050293
1710745738.581669,77,-16.668865203857422
1710745746.7927258,78,-16.951772689819336
1710745750.0413773,79,-16.988676071166992
1710745753.0211976,80,-17.310550689697266
1710745755.5415902,81,-17.82035255432129
1710745761.2223313,82,-17.897184371948242
1710745765.3917842,83,-17.484825134277344
1710745769.3462853,84,-18.362627029418945
1710745771.7028315,85,-18.88625144958496
1710745779.9980042,86,-18.98181915283203
1710745795.6661468,87,-18.939931869506836
1710745805.0487416,88,-19.99579620361328
1710745806.5873992,89,-21.174524307250977
1710745808.3448212,90,-20.419095993041992
1710745810.2743366,91,-20.104835510253906
1710745813.9592874,92,-21.62392234802246
1710745820.2808611,93,-20.710189819335938
1710745856.1995099,94,-21.064138412475586
1710745857.6314063,95,-22.675384521484375
1710745861.335324,96,-22.008996963500977
1710745866.49876,97,-22.890371322631836
1710745876.749318,98,-22.85854148864746
1710745880.7181852,99,-23.90284538269043
1710745890.2533894,100,-23.729524612426758
1710745894.849699,101,-23.90656280517578
1710745898.9207506,102,-23.890228271484375
1710745900.421118,103,-24.885862350463867
1710745904.161853,104,-25.015100479125977
1710745908.4066799,105,-25.669530868530273
1710745928.255075,106,-25.43657875061035
1710745931.2150779,107,-26.534908294677734
1710745935.0820198,108,-25.838289260864258
1710745938.0879648,109,-26.136730194091797
1710745941.7053216,110,-26.959047317504883
1710745948.8174415,111,-28.15802574157715
1710745955.3630912,112,-27.688846588134766
1710745959.4999516,113,-28.35975456237793
1710745963.156458,114,-29.15556526184082
1710745967.3561552,115,-28.540983200073242
1710745967.6194851,116,-32.28371047973633
1710745968.66999,117,-26.44389533996582
1710745971.1932962,118,-28.13564682006836
1710745973.0296912,119,-27.935712814331055
1710745976.9913914,120,-29.410545349121094
1710746023.3279452,121,-29.029338836669922
1710746030.0943398,122,-29.382795333862305
1710746036.7672281,123,-29.681495666503906
1710746041.2712576,124,-31.543821334838867
1710746042.768055,125,-29.71083641052246
1710746056.8213148,126,-30.046220779418945
1710746062.7911844,127,-30.536617279052734
1710746064.9113097,128,-31.428653717041016
1710746068.4358478,129,-31.461658477783203
1710746073.31043,130,-32.072105407714844
1710746078.4723582,131,-31.06959342956543
1710746079.366409,132,-32.03049087524414
1710746081.4894524,133,-30.82305145263672
1710746084.0333939,134,-33.54758071899414
1710746091.2084136,135,-33.146114349365234
1710746096.9720893,136,-32.82533264160156
1710746103.9473145,137,-33.49503707885742
1710746135.0216906,138,-33.92817687988281
1710746136.8469214,139,-34.79912185668945
1710746139.5347195,140,-35.88556671142578
1710746139.7764788,141,-33.86615753173828
1710746142.0106764,142,-34.236106872558594
1710746154.1618733,143,-35.32810974121094
1710746158.1854684,144,-36.720401763916016
1710746224.4554663,145,-33.62169647216797
1710746290.350902,146,-34.75479507446289
1710746348.8112314,147,-36.866355895996094
1710746411.5913842,148,-38.632423400878906
1710746478.2563672,149,-41.29737091064453
1710746545.7232568,150,-43.70500564575195
1710746611.6050503,151,-44.957950592041016
1710746621.205979,152,-45.669700622558594
1710746687.4157574,153,-46.05084991455078
